FMID,MarketName,Website,Facebook,Twitter,Youtube,OtherMedia,street,city,County,State,zip,Season1StartDate,Season1EndDate,Season1Time,Season2StartDate,Season2EndDate,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,x,y,Location,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime
1018261,CALEDONIA FARMERS MARKET ASSOCIATION - DANVILLE,https://sites.google.com/site/caledoniafarmersmarket/,https://www.facebook.com/Danville.VT.Farmers.Market/,,,,,DANVILLE,CALEDONIA,VERMONT,05828,06/14/2017 , 08/30/2017,Wed: 9:00 AM-1:00 PM;,09/06/2017 , 10/18/2017,Wed: 2:00 PM-6:00 PM;,,,,,-72.140337,44.411036,,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,N,06-20-2017 22:43:57
1018318,STEARNS HOMESTEAD FARMERS' MARKET,http://www.StearnsHomestead.com,https://www.facebook.com/StearnsHomesteadFarmersMarket,,,,6975 RIDGE ROAD,PARMA ,CUYAHOGA,OHIO,,06/24/2017 , 09/30/2017,Sat: 9:00 AM-1:00 PM;,,,,,,,,-81.7339387,41.3748009,,Y,N,N,Y,N,,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,06-21-2017 17:15:1
1009364,106 S. MAIN STREET FARMERS MARKET,http://thetownofsixmile.wordpress.com/,,,,,106 S. MAIN STREET,SIX MILE,,SOUTH CAROLINA,29682,,,,,,,,,,,-82.8187,34.8042,,Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-01-2013 8:0:0
1010691,10TH STEET COMMUNITY FARMERS MARKET,,,,,http://agrimissouri.com/mo-grown/grodetail.php?type=mo-grown&ID=275,10TH STREET AND POPLAR,LAMAR,BARTON,MISSOURI,64759,04/02/2014 , 11/30/2014,Wed: 3:00 PM-6:00 PM;Sat: 8:00 AM-1:00 PM;,,,,,,,,-94.2746191,37.4956280,,Y,N,N,N,N,,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,10-28-2014 9:49:46
1002454,112ST MADISON AVENUE,,,,,,112TH MADISON AVENUE,NEW YORK,NEW YORK,NEW YORK,10029,July , November,Tue:8:00 am - 5:00 pm;Sat:8:00 am - 8:00 pm;,,,,,,,,-73.9493,40.7939,Private business parking lot,N,N,Y,Y,N,,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,03-01-2012 10:38:22
1011100,12 SOUTH FARMERS MARKET,http://www.12southfarmersmarket.com,https://www.facebook.com/12_South_Farmers_Market,https://twitter.com/12southfrmsmkt,,@12southfrmsmkt,3000 GRANNY WHITE PIKE,NASHVILLE,DAVIDSON,TENNESSEE,37204,05/05/2015 , 10/27/2015,Tue: 3:30 PM-6:30 PM;,,,,,,,,-86.790709,36.118370,,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N,N,05-01-2015 10:40:56
1009845,125TH STREET FRESH CONNECT FARMERS' MARKET,http://www.125thStreetFarmersMarket.com,https://www.facebook.com/125thStreetFarmersMarket,,,Instagram--> 125thStreetFarmersMarket,"163 WEST 125TH STREET AND ADAM CLAYTON POWELL, JR. BLVD.",NEW YORK,NEW YORK,NEW YORK,10027,06/10/2014 , 11/25/2014,Tue: 10:00 AM-7:00 PM;,,,,,,,,-73.9482477,40.8089533,Federal/State government building grounds,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,N,N,N,04-07-2014 16:32:1
1005586,12TH & BRANDYWINE URBAN FARM MARKET,,https://www.facebook.com/12th-Brandywine-Urban-Farm-Community-Garden/253769448091860,,,https://www.facebook.com/delawareurbanfarmcoalition,12TH & BRANDYWINE STREETS,WILMINGTON,NEW CASTLE,DELAWARE,19801,05/16/2014 , 10/17/2014,Fri: 8:00 AM-11:00 AM;,,,,,,,,-75.534460,39.742117,"On a farm from: a barn, a greenhouse, a tent, a stand, etc",N,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,04-03-2014 15:43:31
1008071,14&U FARMERS' MARKET,,https://www.facebook.com/14UFarmersMarket,,,,1400 U STREET NW,WASHINGTON,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,20009,05/03/2014 , 11/22/2014,Sat: 9:00 AM-1:00 PM;,,,,,,,,-77.0320505,38.9169984,Other,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,04-05-2014 13:49:4
1012710,14TH & KENNEDY STREET FARMERS MARKET,,https://www.facebook.com/14KennnedyFarmersMarket/,,,instagram:14kenfm,"5500 COLORADO AVENUE, NW",WASHINGTON,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,20011,04/09/2016 , 11/19/2016,Sat: 9:00 AM-1:00 PM;,,,,,,,,-77.0334486,38.9559783,,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,Y,N,Y,N,N,N,Y,N,N,07-20-2016 11:16:24
1019157,16TH AVE FARMERS MARKET,http://16thavefarmersmarket.com,,,,,NE 16TH AVE & BROADWAY,PORTLAND,MULTNOMAH,OREGON,97212,06/03/2018 , 10/28/2018,Sun: 9:00 AM-1:30 PM;,,,,,,,,-122.649446,45.534498,,Y,Y,Y,Y,N,,Y,N,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,Y,N,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,Y,07-05-2018 17:0:17
1018792,170 FARM STAND,,https://www.facebook.com/CommunityFoodAction/,,https://www.youtube.com/channel/UCZnt7sSNKIBrn2rMy1RyE_w,https://www.instagram.com/goodeatsbx/,NE CORNER OF 170TH ST. & TOWNSEND AVENUE,BRONX,BRONX,NEW YORK,10452,07/05/2017 , 11/22/2017,Wed: 2:30 PM-6:30 PM;,,,,,,,,-73.9167841,40.8398843,,Y,N,Y,Y,Y,,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,N,N,N,08-07-2017 16:11:24
1016782,175TH STREET GREENMARKET,https://www.grownyc.org/greenmarket/manhattan/175th-street,https://www.facebook.com/ManhattanGreenmarkets/,,,,175TH STREET BETWEEN WADSWORTH & BROADWAY,NEW YORK,NEW YORK,NEW YORK,10033,06/29/2017 , 11/22/2017,Tue: 8:00 AM-6:00 PM;,,,,,,,,-73.938049,40.846354,,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,12/16/2016 12:06:16 PM
1003877,17TH AVE MARKET,http://www.iatp.org/minimarkets,,,,,1622 6TH ST NE,MINNEAPOLIS,HENNEPIN,MINNESOTA,55413,June , September,Wed:3:00 pm - 7:00 pm;,,,,,,,,-93.2591,45.0044,"Faith-based institution (e.g., church, mosque, synagogue, temple)",N,Y,Y,Y,N,,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,04-28-2011 14:33:54
1016784,17TH STREET FARMERS MARKET,http://enrichmond.org,https://www.facebook.com/17thStreetFarmersMarket/,,,,100 NORTH 17TH ST.,RICHMOND,RICHMOND CITY,VIRGINIA,23219,06/08/2017 ,,Thu: 3:00 PM-6:30 PM;,,,,,,,,-77.428364,37.533850,,Y,N,N,N,Y,,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,Y,N,Y,N,N,Y,N,N,N,12/29/2016 12:13:04 PM
1010968,18TH AND CHRISTIAN FARMERS' MARKET,http://thefoodtrust.org/farmers-markets/market/18th-Christian,,,,,18TH STREET AND CHRISTIAN STREET,PHILADELPHIA,PHILADELPHIA,PENNSYLVANIA,19146,06/01/2015 , 11/15/2015,Thu: 3:00 PM-7:00 PM;,,,,,,,,-75.173431,39.940943,,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,03-24-2015 15:33:48
1009994,18TH STREET FARMER'S MARKET,,https://www.facebook.com/ScottsbluffFarmersMarket,,,,18TH AND BROADWAY,SCOTTSBLUFF,SCOTTS BLUFF,NEBRASKA,69361,06/07/2014 , 09/27/2014,Sat: 8:00 AM-11:00 AM;,,,,,,,,-103.662538,41.864268,,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,06-29-2016 16:32:46
1018365,18TH STREET FARMER'S MARKET,,https://www.facebook.com/18th Street Farmers Market,,,,825 18TH STREET,CHARLESTON,COLES,ILLINOIS,61920,05/20/2017 , 09/30/2017,Sat: 8:00 AM-12:00 PM;,,,,,,,,-88.1622392,39.4907144,,Y,Y,N,Y,Y,,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,06-23-2017 8:2:15
1012790,19/27 COMMUNITY FARMERS MARKET,,https://www.facebook.com/1927-Community-Farmers-Market-1505265436358960/,,,,NE 7TH AVE,CHIEFLAND,LEVY,FLORIDA,32626,09/03/2016 , 06/24/2017,Sat: 8:30 AM-1:00 PM;,09/02/2017 , 06/30/2018,Sat: 8:30 AM-1:00 PM;,,,,,-82.8578732,29.4848541,,Y,N,N,N,N,,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,N,N,08-19-2016 16:7:34
1012158,21 ACRES FARM MARKET,http://21acres.org,https://www.facebook.com/21Acres/,https://twitter.com/21acres,21AcresCenter's channel,Instagram @21acres,13701 NE 171ST STREET,WOODINVILLE,KING,WASHINGTON,98072,01/01/2016 , 12/31/2016,Wed: 11:00 AM-6:00 PM;Thu: 11:00 AM-6:00 PM;Fri: 11:00 AM-6:00 PM;Sat: 11:00 AM-6:00 PM;,,,,,,,,-122.1569875,47.7502397,,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,06-30-2016 19:50:56
1010873,21ST STREET FARMERS MARKET,,,,,,SW 21ST AND OAKLEY,TOPEKA,SHAWNEE,KANSAS,66604,06/05/2015 , 10/30/2015,Fri: 7:30 AM-12:00 PM;,,,,,,,,-95.714514,39.028184,,Y,N,N,Y,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,N,03-02-2015 10:46:33
1005309,22ND AND TASKER FARMERS' MARKET,http://thefoodtrust.org/farmers-markets/market/22nd-tasker,,,,,22ND AND TASKER STREETS,PHILADELPHIA,PHILADELPHIA,PENNSYLVANIA,19146,06/01/2015 , 11/01/2015,Tue: 2:00 PM-6:00 PM;,,,,,,,,-75.181286,39.932257,,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,03-24-2015 14:29:42
